timestamp,participant_id,champion,team,position_x,position_y,visible_to_enemy,level,total_gold,match_id
0,1,Ornn,100,603,611,false,1,500,EUW1_7596401539
0,2,Brand,100,662,285,false,1,500,EUW1_7596401539
0,3,Katarina,100,362,135,false,1,500,EUW1_7596401539
0,4,MissFortune,100,130,401,false,1,500,EUW1_7596401539
0,5,Nautilus,100,298,675,false,1,500,EUW1_7596401539
0,6,Gragas,200,14103,14195,false,1,500,EUW1_7596401539
0,7,Zed,200,14426,14170,false,1,500,EUW1_7596401539
0,8,Veigar,200,14321,14673,false,1,500,EUW1_7596401539
0,9,Jhin,200,14589,14454,false,1,500,EUW1_7596401539
0,10,Poppy,200,14055,14493,false,1,500,EUW1_7596401539
60028,1,Ornn,100,2235,9702,false,1,500,EUW1_7596401539
60028,2,Brand,100,5988,5020,false,1,500,EUW1_7596401539
60028,3,Katarina,100,362,135,false,1,500,EUW1_7596401539
60028,4,MissFortune,100,9084,3951,false,1,500,EUW1_7596401539
60028,5,Nautilus,100,9288,3489,false,1,500,EUW1_7596401539
60028,6,Gragas,200,4054,13584,false,1,500,EUW1_7596401539
60028,7,Zed,200,11542,7135,false,1,500,EUW1_7596401539
60028,8,Veigar,200,8628,8566,false,1,500,EUW1_7596401539
60028,9,Jhin,200,12183,4986,false,1,500,EUW1_7596401539
60028,10,Poppy,200,12126,4415,false,1,500,EUW1_7596401539
120041,1,Ornn,100,2076,12706,true,1,604,EUW1_7596401539
120041,2,Brand,100,9012,2474,false,2,631,EUW1_7596401539
120041,3,Katarina,100,7373,7312,true,1,632,EUW1_7596401539
120041,4,MissFortune,100,13461,2717,true,1,604,EUW1_7596401539
120041,5,Nautilus,100,12979,2273,true,1,562,EUW1_7596401539
120041,6,Gragas,200,2515,12903,true,1,618,EUW1_7596401539
120041,7,Zed,200,12347,6644,false,2,631,EUW1_7596401539
120041,8,Veigar,200,8007,7832,true,1,632,EUW1_7596401539
120041,9,Jhin,200,13534,3460,true,1,541,EUW1_7596401539
120041,10,Poppy,200,13502,2880,true,1,569,EUW1_7596401539
180160,1,Ornn,100,1367,10978,true,3,881,EUW1_7596401539
180160,2,Brand,100,3264,7803,false,3,1043,EUW1_7596401539
180160,3,Katarina,100,1784,2105,false,3,895,EUW1_7596401539
180160,4,MissFortune,100,13481,2742,false,2,1102,EUW1_7596401539
180160,5,Nautilus,100,12210,3073,true,1,769,EUW1_7596401539
180160,6,Gragas,200,1621,11877,true,3,902,EUW1_7596401539
180160,7,Zed,200,7374,11932,false,3,1104,EUW1_7596401539
180160,8,Veigar,200,8834,8946,false,3,1196,EUW1_7596401539
180160,9,Jhin,200,11685,3797,true,2,1229,EUW1_7596401539
180160,10,Poppy,200,13943,13299,false,2,1204,EUW1_7596401539
240190,1,Ornn,100,1565,11170,true,4,1199,EUW1_7596401539
240190,2,Brand,100,3807,10279,false,4,1413,EUW1_7596401539
240190,3,Katarina,100,7220,7399,true,3,1080,EUW1_7596401539
240190,4,MissFortune,100,11843,2096,true,3,1373,EUW1_7596401539
240190,5,Nautilus,100,7488,1659,false,1,931,EUW1_7596401539
240190,6,Gragas,200,1737,11887,true,4,1213,EUW1_7596401539
240190,7,Zed,200,8438,10045,false,4,1335,EUW1_7596401539
240190,8,Veigar,200,8287,7372,true,4,1416,EUW1_7596401539
240190,9,Jhin,200,12242,2804,true,2,1372,EUW1_7596401539
240190,10,Poppy,200,12599,2678,true,3,1602,EUW1_7596401539
300202,1,Ornn,100,1503,12234,true,5,1469,EUW1_7596401539
300202,2,Brand,100,12385,3208,true,4,1669,EUW1_7596401539
300202,3,Katarina,100,6224,6092,true,4,1364,EUW1_7596401539
300202,4,MissFortune,100,13075,2739,true,4,1772,EUW1_7596401539
300202,5,Nautilus,100,13522,2808,true,2,1131,EUW1_7596401539
300202,6,Gragas,200,2316,11974,true,4,1350,EUW1_7596401539
300202,7,Zed,200,11728,7627,false,4,1640,EUW1_7596401539
300202,8,Veigar,200,7182,6887,true,5,1710,EUW1_7596401539
300202,9,Jhin,200,13493,3284,true,3,1778,EUW1_7596401539
300202,10,Poppy,200,13596,2765,true,4,1822,EUW1_7596401539
360215,1,Ornn,100,1710,11534,true,6,1724,EUW1_7596401539
360215,2,Brand,100,6128,5063,false,5,1922,EUW1_7596401539
360215,3,Katarina,100,7389,7348,false,5,1654,EUW1_7596401539
360215,4,MissFortune,100,8279,1105,false,4,1985,EUW1_7596401539
360215,5,Nautilus,100,10811,1148,true,3,1271,EUW1_7596401539
360215,6,Gragas,200,1934,12208,true,5,1720,EUW1_7596401539
360215,7,Zed,200,10742,13285,false,5,1843,EUW1_7596401539
360215,8,Veigar,200,8477,8161,false,5,2028,EUW1_7596401539
360215,9,Jhin,200,11565,1407,true,4,2138,EUW1_7596401539
360215,10,Poppy,200,11203,1724,true,4,2007,EUW1_7596401539
420228,1,Ornn,100,3934,11759,false,7,2062,EUW1_7596401539
420228,2,Brand,100,3974,9931,false,5,2229,EUW1_7596401539
420228,3,Katarina,100,7051,7033,true,6,2013,EUW1_7596401539
420228,4,MissFortune,100,13700,3903,true,5,2376,EUW1_7596401539
420228,5,Nautilus,100,1969,1193,false,4,1520,EUW1_7596401539
420228,6,Gragas,200,3634,13775,false,6,2030,EUW1_7596401539
420228,7,Zed,200,11635,7217,false,5,2189,EUW1_7596401539
420228,8,Veigar,200,8151,7434,true,6,2324,EUW1_7596401539
420228,9,Jhin,200,13778,6253,false,4,2282,EUW1_7596401539
420228,10,Poppy,200,13231,6844,false,4,2192,EUW1_7596401539
480254,1,Ornn,100,2554,13441,true,7,2367,EUW1_7596401539
480254,2,Brand,100,7974,3460,false,6,2546,EUW1_7596401539
480254,3,Katarina,100,4001,10422,false,6,2341,EUW1_7596401539
480254,4,MissFortune,100,12038,1689,true,5,2561,EUW1_7596401539
480254,5,Nautilus,100,10635,2925,false,5,1691,EUW1_7596401539
480254,6,Gragas,200,3812,13867,true,7,2279,EUW1_7596401539
480254,7,Zed,200,11664,4173,false,6,2446,EUW1_7596401539
480254,8,Veigar,200,8065,8122,false,7,2659,EUW1_7596401539
480254,9,Jhin,200,12027,2711,true,5,2788,EUW1_7596401539
480254,10,Poppy,200,9597,5310,false,5,2547,EUW1_7596401539
540272,1,Ornn,100,1306,9522,true,8,2853,EUW1_7596401539
540272,2,Brand,100,3570,8147,false,7,2904,EUW1_7596401539
540272,3,Katarina,100,7265,7301,true,7,2835,EUW1_7596401539
540272,4,MissFortune,100,11205,1754,false,6,2996,EUW1_7596401539
540272,5,Nautilus,100,692,488,false,5,1835,EUW1_7596401539
540272,6,Gragas,200,1142,10714,true,7,2516,EUW1_7596401539
540272,7,Zed,200,5025,10768,false,6,2634,EUW1_7596401539
540272,8,Veigar,200,8205,7650,true,7,3091,EUW1_7596401539
540272,9,Jhin,200,13186,2116,false,5,3011,EUW1_7596401539
540272,10,Poppy,200,10278,2901,false,5,2724,EUW1_7596401539
600276,1,Ornn,100,2532,12893,true,9,3254,EUW1_7596401539
600276,2,Brand,100,6133,2077,false,7,3321,EUW1_7596401539
600276,3,Katarina,100,7068,7413,true,8,3145,EUW1_7596401539
600276,4,MissFortune,100,10355,1420,true,6,3366,EUW1_7596401539
600276,5,Nautilus,100,10349,1693,true,5,2059,EUW1_7596401539
600276,6,Gragas,200,3499,13583,true,8,2771,EUW1_7596401539
600276,7,Zed,200,6374,12392,false,7,3039,EUW1_7596401539
600276,8,Veigar,200,8202,7533,true,8,3386,EUW1_7596401539
600276,9,Jhin,200,11091,1607,true,6,3402,EUW1_7596401539
600276,10,Poppy,200,11553,1612,true,6,3002,EUW1_7596401539
660293,1,Ornn,100,2421,13580,true,9,3587,EUW1_7596401539
660293,2,Brand,100,7028,5502,false,8,3763,EUW1_7596401539
660293,3,Katarina,100,6936,7562,true,8,4166,EUW1_7596401539
660293,4,MissFortune,100,13537,2296,false,7,3830,EUW1_7596401539
660293,5,Nautilus,100,12244,4641,false,6,2385,EUW1_7596401539
660293,6,Gragas,200,3723,13747,true,8,3026,EUW1_7596401539
660293,7,Zed,200,11422,10801,false,7,3237,EUW1_7596401539
660293,8,Veigar,200,8243,7561,true,9,3775,EUW1_7596401539
660293,9,Jhin,200,13818,6308,false,6,3629,EUW1_7596401539
660293,10,Poppy,200,10254,9544,false,6,3184,EUW1_7596401539
720323,1,Ornn,100,416,575,false,9,3814,EUW1_7596401539
720323,2,Brand,100,4223,3901,false,8,4049,EUW1_7596401539
720323,3,Katarina,100,7651,7555,false,9,4436,EUW1_7596401539
720323,4,MissFortune,100,10711,1458,true,7,4042,EUW1_7596401539
720323,5,Nautilus,100,11835,1729,true,6,2538,EUW1_7596401539
720323,6,Gragas,200,3935,13712,false,9,3675,EUW1_7596401539
720323,7,Zed,200,12253,10998,false,7,3544,EUW1_7596401539
720323,8,Veigar,200,14633,14515,false,9,4086,EUW1_7596401539
720323,9,Jhin,200,11454,1073,true,7,3969,EUW1_7596401539
720323,10,Poppy,200,11627,1386,true,6,3448,EUW1_7596401539
780339,1,Ornn,100,3055,12488,false,10,4123,EUW1_7596401539
780339,2,Brand,100,11795,5304,true,8,4281,EUW1_7596401539
780339,3,Katarina,100,6820,7215,false,9,4758,EUW1_7596401539
780339,4,MissFortune,100,11994,3062,true,8,4751,EUW1_7596401539
780339,5,Nautilus,100,11148,3650,true,7,2937,EUW1_7596401539
780339,6,Gragas,200,3977,13815,false,10,3984,EUW1_7596401539
780339,7,Zed,200,12272,4608,true,8,3666,EUW1_7596401539
780339,8,Veigar,200,8181,7639,false,10,4934,EUW1_7596401539
780339,9,Jhin,200,12960,3947,true,7,4189,EUW1_7596401539
780339,10,Poppy,200,12032,3771,true,6,3673,EUW1_7596401539
840361,1,Ornn,100,1954,12900,false,10,4455,EUW1_7596401539
840361,2,Brand,100,2738,6346,false,9,4744,EUW1_7596401539
840361,3,Katarina,100,5993,6316,false,10,5403,EUW1_7596401539
840361,4,MissFortune,100,10339,1133,true,8,5272,EUW1_7596401539
840361,5,Nautilus,100,10679,1257,true,7,3130,EUW1_7596401539
840361,6,Gragas,200,3332,13534,false,10,4379,EUW1_7596401539
840361,7,Zed,200,10946,8629,false,8,3871,EUW1_7596401539
840361,8,Veigar,200,8039,7564,false,11,5224,EUW1_7596401539
